,id,native,language,probabilities,english_only,text
16774,20665.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999959268678398],True,"Hi! I'm interested in increasing my fluency in English in a fifty/fifty interchange and I'm looking for someone who can correct me, gently, as much as possible. My level is between drunk gorilla and epileptic baboon (intermediate) but I'm very patient, friendly and respectful. I'm happily married, so my unique goal is to have fun while I have a good conversation. A cambio, seré tu entrenador personal en español o en catalán si lo prefieres. Let's practice together!"
16775,20666.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999978632612709],True,"Hi, I am Andrés from Palma de Mallorca and I want to improve my English with native people. I'm studient and I want to take advantage of living in this international city."
16776,20667.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999947275463994],True,"Hello, I'm looking for a partner to improve my English !! Would you like to help me? I am very interested in practising and learning from you. Let's do it !!"
16777,20669.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999962478580148],True,I'd like to improve my english. I can also help you with your spanish or catalan ;)
16778,20671.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999973422306],True,"Hello, I'd like to practise English and this summer I have free time. We could conversation walking around Barcelona or taking a coffe, do you want try? See you!"
16779,20672.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999957070002673],True,"Hi there, I'm Javier from Spain. I have been living in London for the last 5 years and I'd like to improve my English. I'd would be great to find somebody to meet and exchange our languages. I can teach my Spanish and Catalan if you need it as well. I'm a self employed so I'm very flexible with the times. Thank you for reading this and I hope we can use this website properly and learn a lot :)"
16780,20673.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999957586246198],True,"Hello! I'm a Spanish teacher, now I'm working in an adult school teaching Spanish and other subjects, and if you want I'll help you to improve your Spanish skills. Best regards"
16781,20675.0,Spanish<br/>Catalan,"[{'language': 'Swedish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Norwegian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999955127865127],True,I want to learn swedish or Norwegian languages for bring my future in Scandinavia
16782,20676.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999951287205927],True,Hi! I'm an entrepreneurship student from Barcelona. I would like to improve my spoken English while meeting new people and learning from their experience.
16783,20677.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999972043729615],True,Hi! I would like to improve my English level and start with German. I can help you with your Spanish or Catalan.
16784,20678.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999960578874623],True,Someone to practice and to improve my English level. WhatsApp or Telegram.
16785,20679.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999975343022878],True,"Hello! I'm Jordi from Barcelona, I live in Gràcia, the coolest neighbourhood. I'm new in conversation exchange, and I'm here to improve my english, in change I may help you with spanish or catalan. If you are interested, let me know!"
16786,20680.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999959507422416],True,"Hi I'm Núria and I'd like to improve my english! I love to travel and meet new people, but nowadays without english you can't go anywhere, so I'm here to meet new people and to learn a lot :)"
16787,20681.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999954210842835],True,"Hi! I live in Vilanova i la Geltrú and I work in Barcelona. I am studying English (b2 level) so, I need to improve my speaking to sound more confident. In exchange I can help to learn/improve your Spanish or Catalan. See you!!"
16788,20682.0,Spanish<br/>Catalan,"[{'language': 'French', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Russian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999970359322123],True,"I would love to meet native people of the languages ​​that I want to learn in order to be able to perfect and learn the language ,I also offer to be able to have conversations with people who want to learn Spanish or Catalan."
16789,20684.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999980271367856],True,I would like improve my English comunicational skills. I do not need it neither for work nor for studies. Just for having fun. Have a good day.
16792,20694.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999969958567698],True,"Deseo aprender inglés con el método mas eficaz, el interactuar con otras personas nativas. Y por el contrario ayudarles a ellos a aprender el castellano. - - - I would dream to learn English with the best form, change with other native persons. And help yours to learn Spanish."
16793,20695.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999967734819217],True,"Hi! I arrived in London two months ago and I would like to continue improving my English. I think this is a very good way to learn, improve, meet new people and also help other people to learn and improve their Spanish."
16794,20696.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999975136382562],True,"Hello, I am Luis, I am 35, in Cerdanyola del Vallès ( barcelona) ! I really need to improve my English and I need to practise some conversations. I'm a funny person and i can you to improve your spanish or Catalán. See you soon."
16795,20697.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999996712002017],True,I'm from Mallorca but i live in Madrid. I'm looking for practice English by personal and professional reasons. I can help anyone to learn Spanish and Catalonian.
16796,20698.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999996978460461],True,"Hi, I'm Cristina, and I would like to improve my English, nowadays I'm study 5th level, and this year I'll do the B2 exam, but I have two babies and it's a little difficult to assist at clases, for that reason I must found other ways to study and practise.  I can help you with your Spanish or Catalan.  See you soon"
16797,20701.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999958203475292],True,"Calm, nature lover, looking for ways to grow, trying to get rid of negative thoughts."
16798,20702.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999966792257269],True,"Hi everybody! Native Spanish and Catalan speaker here. I'm a scientist and I'm thinking on moving to another country, but my general English speaking skills got a bit rusted over time (to put it mildly), so I'm just looking for an exchange to help me polish them up again while helping others with Spanish and/or Catalan... and hopefully enjoy the process :) This means I prefer to practice face to face, but I'm open to other kinds of exchange also depending on your needs. Many thanks!"
16799,20703.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.99999698609977],True,"I am studying english and I want to improve speaking with native people. I work as a teacher in a primary school. I love travelling and do sports like fútbol, surfing, scuba diving,..."
16800,20706.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999951972693865],True,I'm from Catalonia (Spain) and I've been living in California since last September. My first language is Catalan but I also speaks Spanish. I would like to improve my English and meet some people.
16802,20708.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","[en:0.8571418953363981, no:0.1428562680729304]",False,i'm a person that I like to learn english
16803,20709.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999996292444387],True,Hi everybody! I'm looking for someone who can help me to improve my English. I would be willing to help anybody who would like to learn Spanish. Regards! :D
16804,20710.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999965938811122],True,"Hi! I'm a 27 years old boy from Barcelona, and I want to improve my English. I work in a company where I need to talk in English, but I want to practice the coloquial conversation with other people :). I can help you with Spanish or Catalan!"
16805,20712.0,Spanish<br/>Catalan,"[{'language': 'Italian', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999956840862871],True,"Hi, this is Laia and I'm 24. I like to talk with people of english-speaken countries, becouse I've been trying to learn english for 10 years ago aprox. but my English doesn't improved a lot, because I don't have anyone to practice (family, friends, etc. don't speak English) . That's the reason why I 'm here, to have someone help me improve my English and also help improve your Spanish . Thanks , see you soon =)"
16806,20713.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999959622594552],True,I need to improve my english conversation skills to ensure my work possibilities.
